stop_id,stop_name,stop_lat,stop_lon
884,Mickiewicza - Teatr Polski,53.1309821518364,18.0126545472424
885,Tatrzańskie,53.1694168358615,18.1634175874263
888,Nowotoruńska - Plątnowska,53.0845935279002,18.1188474617262
889,Nowotoruńska - Plątnowska,53.0837786513382,18.1190573491402
890,Dworzec Łęgnowo,53.1117511708733,18.1140885190399
891,Zaświat - Cmentarz,53.142616292715,18.0045705071305
892,Powst.Warszawy - Skromna,53.1436949263825,18.0085045690614
893,Powst.Warszawy - Szpital Woj.,53.1430816986975,18.014967578902
894,Czerkaska - Gdańska,53.1420792129003,18.0211637823373
895,Czerkaska - Sułkowskiego,53.140112522061,18.026364638275
896,Rondo Inowrocławskie,53.1071108754636,18.0078614248772
897,Jana Pawła II - Ziemska,53.1036363708363,18.0079923756953
898,Jana Pawła II - Wąbrzeska,53.0972255149526,18.0086653226324
899,Port Lotniczy,53.0939481019341,17.9981435389156
900,Jana Pawła II - Wąbrzeska,53.095200057074,18.0087479930243
901,Jana Pawła II - Ziemska,53.1042489844864,18.0083041196169
902,Dworzec Autobusowy,53.1236362018498,18.0197047739322
903,Powst.Warszawy - Gdańska,53.1427516598637,18.0191171692739
904,Powst.Warszawy - Szpital Woj.,53.1431242091499,18.0154192419619
905,Powst.Warszawy - Skromna,53.1437804575911,18.009034022416
906,Zaświat - Cmentarz,53.1420448605632,18.0040520129818
908,Matki Teresy z Kalkuty - Akademicka,53.1430781393275,18.1097901774653
909,Centrum Onkologii,53.147663251411,18.1132778728642
910,Brzechwy - Szelburg-Zarembiny,53.148166869358,18.1559456099543
911,Wyzwolenia - Swobodna,53.157305490634,18.1673888294453
913,Wyzwolenia - Derdowskiego,53.1660539799276,18.1644121141117
914,Wyzwolenia - Derdowskiego,53.1665017203609,18.1641457857509
916,Brzechwy - Szelburg-Zarembiny,53.1484126407151,18.1561730657633
917,Centrum Onkologii,53.1475266826525,18.1123106723563
918,Zamczysko - Armii Krajowej,53.1632256807928,18.0533992577164
919,Zamczysko - Gdańska,53.1649915467328,18.0469555672936
920,Myślęcinek,53.161517814482,18.0393177955815
921,Las Gdański,53.1492368470579,18.0272011446578
926,Las Gdański,53.1502653145534,18.0284851919731
927,Zamczysko - Gdańska,53.164839892042,18.0472590562327
928,Armii Krajowej - Zamczysko,53.1632581670845,18.0552869389516
929,Skandynawska - Ikea,53.1313454917836,18.1189453835863
930,Więcka - Łowicka,53.1317260056714,18.1232942555826
932,Rondo Jagiellonów,53.1244269322216,18.008727433576
934,Błonie,53.114861204666,17.9609636270359
935,Skorupki,53.1084503517428,17.9774991467889
936,Zbożowy Rynek,53.1197383316418,18.0031679800241
937,Plac Kościeleckich,53.1205296070302,18.0042396556538
938,Plac Kościeleckich,53.1208358142809,18.004933698296
940,Toruńska - Kazimierza Wielkiego,53.1155258248649,18.0569807766542
941,Toruńska - Zajezdnia Tramwajowa,53.1160906901127,18.0636871940633
942,Nowy Rynek,53.1204679039862,17.9970602231335
943,Kamienna - Sułkowskiego,53.1357199133397,18.0251135941674
944,Kamienna - Wyszyńskiego,53.1338641275363,18.0379473408761
945,Kamienna - Gajowa,53.1330298787784,18.0441984848293
946,Dworzec Bielawy,53.1309721875924,18.0560593986972
947,Dworzec Bielawy,53.1316317498041,18.0527868345974
948,Kamienna - Gajowa,53.1334760077696,18.0422263620727
949,Kamienna - Wyszyńskiego,53.1345245598256,18.0349734212641
950,Błonie,53.1145331318834,17.9607766629531
951,Białe Błota - Urząd Gminy,53.0994899312048,17.9188801069521
952,Białe Błota - Kapliczna,53.0968858591311,17.9029274374582
953,Lipniki - Wiadukt,53.0848995469022,17.8721598200706
954,Lipniki - STW,53.0852413294027,17.862086225237
955,Murowaniec - Strusia,53.0889226289797,17.8537121778141
956,Lipniki - STW,53.0851196016533,17.8634073938829
957,Lipniki - Wiadukt,53.0846246310664,17.8690200372453
958,Białe Błota - Urząd Gminy,53.0997558112713,17.9208702889054
959,Solskiego - Bielicka,53.1121418017298,17.9927294828021
960,Solskiego - Ugory,53.1140821118532,18.0006661133345
961,Rondo Kujawskie,53.1146137287556,18.0063229136223
962,Solskiego - Ugory,53.1134485465442,17.9976178726803
963,Solskiego - Bielicka,53.1121655781195,17.9899961524877
964,Las Gdański,53.1494729605343,18.0249889678468
965,Stadion Zawisza,53.1456051663913,18.023610121503
966,Stadion Zawisza,53.1455839271801,18.023384273361
967,Gdańska - Powst. Warszawy,53.1419715895055,18.0197354288791
968,Gdańska - Powst. Warszawy,53.1420661654112,18.0199065813603
969,Gdańska - Artyleryjska,53.1381201625726,18.0159358630319
970,Gdańska - Artyleryjska,53.1380626227366,18.01572246851
971,Gdańska - Cieszkowskiego,53.1300687799912,18.0078808684511
972,Gdańska - Cieszkowskiego,53.130519051059,18.0082113730506
973,Plac Wolności,53.1266799665256,18.0042652618174
974,Plac Wolności,53.1264103512783,18.003902587213
975,Gdańska - Dworcowa,53.1253141737433,18.0031533435684
976,Gdańska - Dworcowa,53.125155980403,18.003007758204
977,Chodkiewicza - Paderewskiego,53.1328122021835,18.0170889948069
978,Chodkiewicza - Paderewskiego,53.1329532882065,18.0168446928454
979,UKW,53.1317114796566,18.0204209149799
980,UKW,53.1314566189543,18.0219580434344
981,Chodkiewicza - Lelewela,53.1317866156446,18.0287844731829
982,Chodkiewicza - Lelewela,53.1318465551436,18.0285494559594
983,Meysnera - Opławiec,53.1855253660376,17.9580480929257
